DATE,CNX,TATA AUTO,HDFC,LARSEN,TKK,DABUR,SUN,WIPRO,TATA STEEL,INDIAN,NTPC,BHARTI
2008-05-15T00:00:00Z,4159.299805,82.9262,258.74,891.236,128.72,43.83969,98.747,262.068,715.4553,162.8705,159.4,413.845
2008-05-16T00:00:00Z,4198.100098,84.4343,262.68,900.1357,128.22,43.77344,101.233,259.422,723.164,168.1638,159.11,410.94
2008-05-20T00:00:00Z,4158.899902,85.4394,256.55,892.4219,124.66,43.0667,98.988,254.234,726.0852,165.2728,154.94,400.292
2008-05-21T00:00:00Z,4174.600098,86.4319,247.44,898.3203,126.42,43.15504,97.01,253.566,748.1567,166.1279,151.61,397.073
2008-05-22T00:00:00Z,4099.850098,83.0456,243.71,876.002,122.81,42.6029,96.085,250.458,737.7701,165.965,148.9,396.589
2008-05-23T00:00:00Z,4037.350098,80.4137,242.89,853.6549,121.95,41.6974,97.043,248.12,727.9516,170.9326,147.28,404.237
2008-05-26T00:00:00Z,3962.5,78.171,239.04,824.8232,122.63,40.90232,100.846,246.066,709.6939,168.9781,146.24,418.249
2008-05-27T00:00:00Z,3944.199951,80.2879,233.26,823.6823,121,40.70355,100.557,252.77,703.5269,171.0547,147.82,416.265
2008-05-28T00:00:00Z,3991.5,81.0728,236.95,812.9365,118.47,41.96243,107.208,261.734,732.9826,173.8032,147.28,428.85
2008-05-29T00:00:00Z,3939.399902,73.3649,232.21,865.1661,121.86,42.42622,101.544,261.991,727.1401,169.3039,142.66,422.073
2008-05-30T00:00:00Z,3959.649902,72.4975,241.31,895.3035,119.65,42.89002,102.593,260.064,732.5768,175.0858,143.57,425.461
2008-06-02T00:00:00Z,3853.550049,70.1107,229.41,876.4523,121.32,42.24954,105.804,253.771,705.1498,171.0547,134.45,419.653
2008-06-03T00:00:00Z,3831.649902,71.7438,221.7,854.6149,118.29,41.91826,105.383,260.527,699.2263,176.4295,133.2,406.584
2008-06-04T00:00:00Z,3719.399902,67.868,212.99,827.3149,117.39,42.47039,100.264,252.23,660.3578,169.3853,131.49,394.532
2008-06-05T00:00:00Z,3774.600098,67.5975,216.52,815.3976,121.95,42.64708,106.308,271.982,683.0784,159.7963,139.03,397.388
2008-06-06T00:00:00Z,3730.5,67.7232,215.75,804.6968,127.32,42.80168,103.752,259.936,668.7969,153.4647,137.95,391.095
2008-06-09T00:00:00Z,3611.800049,65.7065,206.64,780.2632,123.71,42.73542,106.575,249.662,667.9855,149.1894,136.03,380.931
2008-06-10T00:00:00Z,3570.600098,63.954,198.95,776.0453,121,42.69125,107.544,243.497,665.5511,149.0265,134.58,374.154
2008-06-11T00:00:00Z,3632.350098,63.5013,208.39,796.4724,123.26,43.64093,105.467,243.009,678.94,150.1462,138.03,393.225
2008-06-12T00:00:00Z,3645.600098,63.7591,201.74,811.7811,120.55,44.61269,107.987,249.662,694.4387,148.2122,135.91,396.541
2008-06-13T00:00:00Z,3634.800049,64.6385,197.01,814.407,116.71,43.61884,107.577,245.038,682.4293,151.4899,134.33,396.904
2008-06-16T00:00:00Z,3679.75,76.6267,200.69,820.3657,115.94,43.95012,109.603,251.203,688.9209,151.8767,138.32,406.754
2008-06-17T00:00:00Z,3753.550049,76.7004,211.89,853.2344,115.58,43.83969,109.288,253.771,690.2192,154.4012,140.12,403.196
2008-06-18T00:00:00Z,3701.199951,76.0667,204.02,825.7841,115.58,44.01638,108.542,249.097,667.4986,153.9533,139.37,394.362
2008-06-19T00:00:00Z,3633.449951,74.4018,196.48,786.1463,118.34,43.32126,108.681,251.485,662.7922,151.836,138.12,387.296
2008-06-20T00:00:00Z,3510.949951,72.4862,192.32,769.6966,111.97,43.05219,107.676,242.495,630.8211,151.2049,135.7,370.766
2008-06-23T00:00:00Z,3416.600098,72.7219,191.54,719.5832,100.82,41.03412,104.495,247.093,605.1792,144.853,135.08,370.282
2008-06-24T00:00:00Z,3359.050049,70.1431,183.86,691.4575,107.46,39.66631,96.783,241.442,577.0219,143.7332,129.62,363.022
2008-06-25T00:00:00Z,3401.050049,69.8484,186.85,694.3689,110.89,39.24027,95.299,233.994,602.5826,145.1176,130.58,378.511
2008-06-26T00:00:00Z,3431,71.4252,183.87,707.6964,110.16,39.01604,98.184,244.525,613.9429,142.1045,129.29,371.25
2008-06-27T00:00:00Z,3293.649902,64.9855,178.06,680.1264,103.84,37.15493,97.522,232.368,589.7617,138.4399,125.62,360.432
2008-06-30T00:00:00Z,3203.350098,62.6278,175.29,655.782,102.94,35.83198,101.836,228.669,591.3846,134.7753,126.54,348.501
2008-07-01T00:00:00Z,3075.800049,59.9753,166.93,643.0704,98.61,35.60775,100.253,216.347,566.1485,127.0186,127.58,343.66
2008-07-02T00:00:00Z,3225,61.4489,180.2,689.2062,97.52,36.28044,101.613,228.721,601.122,133.9813,132.37,358.278
2008-07-03T00:00:00Z,3098.699951,57.7649,171.27,669.9506,98.06,33.85875,100.864,223.146,534.0151,136.2412,127.08,342.208
2008-07-04T00:00:00Z,3178.149902,58.9511,174.24,714.8411,99.78,34.71083,96.937,222.182,519.6525,138.3992,128.2,349.469
2008-07-07T00:00:00Z,3207.800049,57.1755,176.69,708.9428,103.84,36.48224,96.337,230.388,528.9841,142.9189,129.62,352.857
2008-07-08T00:00:00Z,3186,55.5692,176.34,719.5382,102.13,36.66163,95.215,218.301,529.0652,143.326,134.37,346.081
2008-07-09T00:00:00Z,3321.399902,60.1226,185.97,757.3903,106.46,37.87247,96.297,225.204,549.8383,146.3799,140.32,362.054
2008-07-10T00:00:00Z,3323.649902,58.6491,184.22,760.1512,104.84,40.74262,96.655,225.334,567.1223,146.5835,139.07,358.665
2008-07-11T00:00:00Z,3232.199951,58.7154,187.88,706.6464,103.84,42.02073,96.308,214.654,540.5067,141.0662,134.95,360.384
2008-07-14T00:00:00Z,3222.800049,60.1226,180.63,716.4467,104.79,42.82796,97.789,210.486,554.5448,143.0817,139.12,354.817
2008-07-15T00:00:00Z,3085.5,59.3859,160.23,684.1787,100.56,41.70681,95.774,194.361,525.7383,140.0076,135.28,340.272
2008-07-16T00:00:00Z,3049.850098,58.5754,159.88,679.5555,98.6,40.18204,95.211,194.856,507.3995,139.6615,135.24,353.825
2008-07-17T00:00:00Z,3146.149902,59.7322,167.24,733.3016,100.37,39.35239,95.174,198.503,492.8746,148.2122,137.7,361.57
2008-07-18T00:00:00Z,3248.050049,61.7436,180.81,764.6988,99.3,40.1372,94.922,189.385,493.8747,155.5413,144.78,390.224
2008-07-21T00:00:00Z,3289.800049,61.4489,189.48,754.0134,101.77,39.95781,99.953,195.377,499.2918,152.4264,151.2,387.223
2008-07-22T00:00:00Z,3355.899902,62.1783,192.68,772.0082,103.35,40.36143,102.264,205.953,521.377,154.727,154.07,378.995
2008-07-23T00:00:00Z,3550.800049,64.6245,212.24,832.3425,105.12,40.854730000000004,105.584,212.57,556.3799,164.2956,158.65,394.968
2008-07-24T00:00:00Z,3524.5,63.8803,213.85,814.8726,106.14,40.80989,106.996,212.57,525.794,164.9064,154.57,382.673
2008-07-25T00:00:00Z,3452.449951,62.7677,197.01,788.0977,107.21,41.30319,103.398,212.882,514.7097,164.4992,156.36,385.94
2008-07-28T00:00:00Z,3469.399902,62.7751,196.87,816.5088,108,41.39289,101.961,212.908,503.4588,162.8705,153.9,385.771
